,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
HOLD ME TIGHT OR DON’T___Fall Out Boy,0.582,0.925,6,-4.366,0,0.0523,0.00699,2.9e-06,0.108,0.788,95.987,audio_features,0Q9vbV7G2Q6lts13nY9YGP,spotify:track:0Q9vbV7G2Q6lts13nY9YGP,https://api.spotify.com/v1/tracks/0Q9vbV7G2Q6lts13nY9YGP,https://api.spotify.com/v1/audio-analysis/0Q9vbV7G2Q6lts13nY9YGP,210360,4,MANIA,16xtTZvPH6PXcwSqYqJHHG
Gurenge Lofi (Demon Slayer)___Kato,,,,,,,,,,,,,,,,,,,,
Speeding Cars___Walking On Cars,,,,,,,,,,,,,,,,,,,,
Back To My Bed___Elderbrook,0.771,0.729,4,-7.554,1,0.0372,0.313,0.00452,0.236,0.689,124.047,audio_features,0NHBjddjKTkJQvEb5oTilt,spotify:track:0NHBjddjKTkJQvEb5oTilt,https://api.spotify.com/v1/tracks/0NHBjddjKTkJQvEb5oTilt,https://api.spotify.com/v1/audio-analysis/0NHBjddjKTkJQvEb5oTilt,202107,4,Back To My Bed,6xT0yZwxV34C84SOdIoEUh
[Stef]___Linkin Park,0,0.305,11,-21.081,0,0,0.992,0,0.589,0,0,audio_features,1iAv8iIqA0xNGAQgJoAukT,spotify:track:1iAv8iIqA0xNGAQgJoAukT,https://api.spotify.com/v1/tracks/1iAv8iIqA0xNGAQgJoAukT,https://api.spotify.com/v1/audio-analysis/1iAv8iIqA0xNGAQgJoAukT,10027,0,Reanimation,2NbO8RRVTVEUjHaxUVdMDT
Dilko Tumse Pyar Hua___Roop Kumar Rathod,,,,,,,,,,,,,,,,,,,,
Not Ok___Kygo,,,,,,,,,,,,,,,,,,,,
Killer Queen___5 Seconds of Summer,0.262,0.789,10,-4.548,1,0.123,0.00422,0,0.325,0.487,171.009,audio_features,0SA903LGHxe4ExdRY2SqVH,spotify:track:0SA903LGHxe4ExdRY2SqVH,https://api.spotify.com/v1/tracks/0SA903LGHxe4ExdRY2SqVH,https://api.spotify.com/v1/audio-analysis/0SA903LGHxe4ExdRY2SqVH,199357,3,Killer Queen,1au5Knce0R5QwlKe2JCC4a
Stranger___VHS Collection,0.831,0.791,2,-3.202,0,0.0593,0.0624,0,0.145,0.601,101.949,audio_features,64GMWImeb6xJcddUiK9kov,spotify:track:64GMWImeb6xJcddUiK9kov,https://api.spotify.com/v1/tracks/64GMWImeb6xJcddUiK9kov,https://api.spotify.com/v1/audio-analysis/64GMWImeb6xJcddUiK9kov,197647,4,Stranger,0Qi3UVsHtnxNZW1WPrpxOh
Don't Stop Me Now - Remastered 2011___Queen,,,,,,,,,,,,,,,,,,,,
Feels Like Forever___Kygo,0.643,0.719,1,-5.535,1,0.11,0.414,0,0.0744,0.394,119.973,audio_features,4B6xQy8i7cVzKT8kPIhBY5,spotify:track:4B6xQy8i7cVzKT8kPIhBY5,https://api.spotify.com/v1/tracks/4B6xQy8i7cVzKT8kPIhBY5,https://api.spotify.com/v1/audio-analysis/4B6xQy8i7cVzKT8kPIhBY5,217247,4,Golden Hour,7tcs1X9pzFvcLOPuhCstQJ
Crazy___Makeout,,,,,,,,,,,,,,,,,,,,
Diamond Heart___Alan Walker,,,,,,,,,,,,,,,,,,,,
