,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature,albumName,albumID
13597,SUPER-Hi,Following the Sun,149022,2022-01-09 20:54:00,0.734,0.828,6,-4.433,0,0.033,0.398,0.0225,0.136,0.717,127.023,5A5bLKdL5I3k3FTEQlAUw7,4,Following the Sun,140Jok6j3tn10bqgUqcUVG
13598,Toby Romeo,Where The Lights Are Low,61819,2022-01-09 20:55:00,0.759,0.807,8,-5.812,0,0.122,0.448,0.0,0.105,0.62,123.904,0Cnb8XdGDMHAmIRBUJMkIS,4,Where The Lights Are Low,5ymCqifRmYTEyN4dlZf7Vq
13599,SHY Martin,Lose You Too,186463,2022-01-09 21:02:00,0.445,0.357,7,-9.163,1,0.0445,0.153,0.0,0.356,0.159,147.062,5JkUNbYSn06ghlmu0NRUMf,4,Lose You Too,5Y5EDuf24u2yA488SKJiBW
13600,SLANDER,Love Is Gone - R3HAB Remix,150545,2022-01-09 21:11:00,0.657,0.67,6,-8.179,1,0.0803,0.0644,0.0,0.432,0.299,109.966,356bcy3BLWuyUwOi56pb87,4,Love Is Gone - R3HAB Remix,1jKgqWc50RkUeGUYPudIoC
13601,Avicii,Wake Me Up,0,2022-01-09 21:15:00,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,0nrRP2bk19rLc0orkWPQk2,4,True,2H6i2CrWgXE1HookLu8Au0
13602,Paloma Faith,Only Love Can Hurt Like This,1036,2022-01-09 21:15:00,0.566,0.885,8,-4.528,1,0.0818,0.0958,9.97e-05,0.334,0.304,90.99,62ke5zFUJN6RvtXZgVH0F8,4,A Perfect Contradiction (Outsiders' Expanded Edition),3jRG3qOfsSSW3SBdeBiIfC
13603,Imagine Dragons,Rise Up,1197,2022-01-09 21:15:00,0.447,0.74,3,-6.607,1,0.0475,0.0122,0.000228,0.0958,0.102,93.759,3zT2616WcD9Df5m21OsCX0,4,Evolve,33pt9HBdGlAbRGBHQgsZsU
13604,Linkin Park,Pushing Me Away,2482,2022-01-09 21:15:00,0.484,0.913,6,-4.305,1,0.0425,0.000391,0.0,0.309,0.279,103.103,1gAaRSN57UYVRI4eWRyAvP,4,Hybrid Theory (Bonus Edition),6hPkbAV3ZXpGZBGUvL6jVM
13605,Vigiland,Be Your Friend‬‬,763,2022-01-09 21:15:00,0.6,0.754,0,-4.204,1,0.0488,0.0688,0.0,0.151,0.641,128.044,2mSIu1ZPo22Ihx3EwS4E6h,4,Be Your Friend,33GfLqCFzz4RMZe1bLkFTe
13606,Axel Black & White,Somebody To Love,1196,2022-01-09 21:15:00,0.52,0.907,1,-3.614,1,0.3,0.00373,5.28e-06,0.0906,0.219,132.046,7AxA87dIJ1FF4l1BQ98ZCZ,4,Somebody To Love,7FzaGZqU7lXtba0UkfoIEc
13607,James Bay,Us,2055,2022-01-09 21:15:00,0.559,0.473,0,-4.147,1,0.0364,0.177,1.5e-06,0.108,0.341,69.973,16XiTUC2rQvb5lmtOm3FYY,4,Electric Light,08cprzGPjtLDvKMwtQh93R
13608,Kodaline,Brother,801,2022-01-09 21:15:00,0.519,0.625,10,-5.909,1,0.0482,0.349,0.0,0.121,0.21,120.103,65gLJGey4u4KFFqoC5fzFJ,4,Politics of Living,1ITjhViDumL9llxAJYdKiC
13609,Imagine Dragons,Bad Liar – Stripped,253227,2022-01-09 21:15:00,0.317,0.373,8,-9.603,1,0.0326,0.369,0.0,0.0827,0.167,87.675,6hFi0gXP8KItwMqfBgf44b,4,Bad Liar – Stripped,58401eNNELkIVx3xiwzJFy
